ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count
AACG,2020-06-03,2020-06-05,"[9, 15, 26, 30]",[9],"['2020-06-16', '2020-06-24', '2020-07-10', '2020-07-16']",['2020-06-18'],"[2.725, 1.0, 0.5, 0.5, 0.75, 0.25, 0.0, 0.0]","[2.5, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",31,25
AAL,2020-05-11,2020-07-10,"[6, 11, 18, 25, 36, 45]",[9],"['2020-05-19', '2020-05-27', '2020-06-05', '2020-06-16', '2020-07-01', '2020-07-15']",['2020-07-23'],"[2.683333333333333, 1.0, 0.5, 0.3333333333333333, 0.6666666666666666, 0.5, 0.16666666666666666, 0.0]","[2.5, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",330,318
AAME,2020-03-24,2020-05-20,"[9, 34, 38, 42, 54, 59]",[30],"['2020-04-06', '2020-05-12', '2020-05-18', '2020-05-22', '2020-06-10', '2020-06-17']",['2020-07-02'],"[2.15, 0.8333333333333334, 0.6666666666666666, 0.0, 0.5, 0.3333333333333333, 0.0, 0.16666666666666666]","[4.1, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",546,564
AAOI,2020-06-17,2020-06-25,"[15, 24]",[12],"['2020-07-09', '2020-07-22']",['2020-07-14'],"[3.15, 1.0, 0.5, 0.5, 1.0, 0.0, 0.0, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",165,161
AAON,2019-07-24,2020-06-15,"[6, 18, 30, 36, 56, 62, 68, 81, 88, 99, 109, 145, 150, 154, 165, 173, 180, 193, 199, 212, 220, 231, 240, 247, 252]","[9, 18]","['2019-08-01', '2019-08-19', '2019-09-05', '2019-09-13', '2019-10-11', '2019-10-21', '2019-10-29', '2019-11-15', '2019-11-26', '2019-12-12', '2019-12-27', '2020-02-20', '2020-02-27', '2020-03-04', '2020-03-19', '2020-03-31', '2020-04-09', '2020-04-29', '2020-05-07', '2020-05-27', '2020-06-08', '2020-06-23', '2020-07-07', '2020-07-16', '2020-07-23']","['2020-06-26', '2020-07-10']","[2.1959999999999997, 0.04, 0.6, 0.28, 0.48, 0.24, 0.24, 0.0]","[3.0999999999999996, 1.0, 0.5, 0.0, 1.0, 1.0, 0.0, 0.0]",561,544
AAPL,2020-07-13,2020-06-29,[6],"[10, 18]",['2020-07-21'],"['2020-07-14', '2020-07-24']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.9, 1.0, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0]",855,867
AAWW,2020-06-23,2020-05-28,[18],"[12, 21, 40]",['2020-07-20'],"['2020-06-15', '2020-06-26', '2020-07-24']","[3.6999999999999997, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[2.5666666666666664, 1.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]",314,325
AAXJ,2020-05-12,2020-06-29,"[6, 20, 29, 40, 48]","[12, 18]","['2020-05-20', '2020-06-10', '2020-06-23', '2020-07-09', '2020-07-21']","['2020-07-16', '2020-07-24']","[2.24, 1.0, 0.8, 0.4, 0.4, 0.0, 0.0, 0.0]","[3.55, 1.0, 1.0, 0.0, 1.0, 0.5, 0.0, 0.0]",283,288
AAXN,2020-04-20,2020-04-24,"[7, 15, 30, 36, 40, 45, 53, 64]","[6, 22, 33, 40, 55, 63]","['2020-04-29', '2020-05-11', '2020-06-02', '2020-06-10', '2020-06-16', '2020-06-23', '2020-07-06', '2020-07-21']","['2020-05-04', '2020-05-27', '2020-06-11', '2020-06-22', '2020-07-14', '2020-07-24']","[2.225, 1.0, 0.5, 0.5, 0.5, 0.25, 0.0, 0.0]","[2.6, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.16666666666666666, 0.5, 0.16666666666666666]",434,434
ABCB,2020-04-29,2020-05-14,"[13, 20, 27, 36, 43, 54]","[21, 30, 38, 45]","['2020-05-18', '2020-05-28', '2020-06-08', '2020-06-19', '2020-06-30', '2020-07-16']","['2020-06-15', '2020-06-26', '2020-07-09', '2020-07-20']","[2.1500000000000004, 1.0, 0.5, 0.16666666666666666, 0.5, 0.5, 0.0, 0.16666666666666666]","[2.725, 1.0, 0.5, 0.5, 0.75, 0.25, 0.0, 0.0]",494,494
