ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count
ABEO,2020-04-07,2020-01-14,"[4, 24, 35, 50, 63, 72, 76]","[4, 12, 32, 43, 54, 66, 75, 103, 114, 125]","['2020-04-14', '2020-05-12', '2020-05-28', '2020-06-18', '2020-07-08', '2020-07-21', '2020-07-27']","['2020-01-21', '2020-01-31', '2020-03-02', '2020-03-17', '2020-04-01', '2020-04-20', '2020-05-01', '2020-06-11', '2020-06-26', '2020-07-14']","[2.1714285714285713, 0.8571428571428571, 0.7142857142857143, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.0, 0.0]","[1.99, 0.0, 0.6, 0.2, 0.5, 0.1, 0.1, 0.0]",569,558
ABIO,2020-05-28,2020-07-07,"[9, 18, 31, 36]","[6, 12]","['2020-06-10', '2020-06-23', '2020-07-13', '2020-07-20']","['2020-07-15', '2020-07-23']","[2.525, 1.0, 0.5, 0.0, 0.75, 0.75, 0.0, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",459,424
ABMD,2020-01-21,2020-06-11,"[6, 12, 20, 34, 46, 54, 66, 70, 78, 96, 105, 115, 128]","[12, 22, 30]","['2020-01-29', '2020-02-06', '2020-02-19', '2020-03-10', '2020-03-26', '2020-04-07', '2020-04-24', '2020-04-30', '2020-05-12', '2020-06-08', '2020-06-19', '2020-07-06', '2020-07-23']","['2020-06-29', '2020-07-14', '2020-07-24']","[2.4615384615384612, 0.07692307692307693, 0.8461538461538461, 0.3076923076923077, 0.5384615384615384, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[3.3000000000000003, 1.0, 1.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0]",637,635
ABTX,2020-06-23,2020-05-14,"[6, 15]","[21, 30, 38, 45, 50]","['2020-07-01', '2020-07-15']","['2020-06-15', '2020-06-26', '2020-07-09', '2020-07-20', '2020-07-27']","[3.15, 1.0, 0.5, 0.5, 1.0, 0.0, 0.0, 0.0]","[2.6, 1.0, 0.6, 0.6, 0.6, 0.2, 0.0, 0.0]",109,108
ABUS,2020-05-19,2020-05-11,"[24, 33, 46]","[11, 15, 22, 29, 36, 44]","['2020-06-23', '2020-07-07', '2020-07-24']","['2020-05-27', '2020-06-02', '2020-06-11', '2020-06-22', '2020-07-01', '2020-07-14']","[2.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[2.0999999999999996, 0.8333333333333334, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5, 0.0]",273,277
ACAD,2020-06-10,2020-07-14,"[10, 18, 27]",[6],"['2020-06-24', '2020-07-07', '2020-07-20']",['2020-07-22'],"[2.7666666666666666, 1.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",359,364
ACAM,2020-07-17,2020-06-18,[6],[22],['2020-07-27'],['2020-07-21'],"[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",17,11
ACAMU,2020-03-27,2020-05-15,[42],[45],['2020-05-28'],['2020-07-21'],"[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3.1999999999999997, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",14,12
ACBI,2020-06-23,2020-05-06,"[6, 15, 22]","[6, 18, 25, 36, 44, 51]","['2020-07-01', '2020-07-15', '2020-07-24']","['2020-05-14', '2020-06-02', '2020-06-11', '2020-06-26', '2020-07-09', '2020-07-20']","[2.9, 1.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[2.683333333333333, 0.8333333333333334, 0.6666666666666666, 0.16666666666666666, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0]",99,114
ACER,2020-06-23,2020-04-16,"[5, 11, 18]","[12, 30, 39, 53, 57, 61, 68]","['2020-06-30', '2020-07-09', '2020-07-20']","['2020-05-04', '2020-05-29', '2020-06-11', '2020-07-01', '2020-07-08', '2020-07-14', '2020-07-23']","[2.1, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.9571428571428569, 1.0, 0.42857142857142855, 0.14285714285714285, 0.5714285714285714, 0.0, 0.0, 0.0]",329,309
ACGL,2020-06-08,2020-07-09,"[6, 18, 27, 32]",[12],"['2020-06-16', '2020-07-02', '2020-07-16', '2020-07-23']",['2020-07-27'],"[2.7499999999999996, 1.0, 0.75, 0.0, 0.75, 0.5, 0.0, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",530,525
ACGLO,2020-06-16,2020-06-30,[15],[18],['2020-07-08'],['2020-07-27'],"[2.9, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3.6999999999999997, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",58,65
ACGLP,2020-06-17,2020-04-03,[21],"[18, 29, 48, 60, 77]",['2020-07-17'],"['2020-04-30', '2020-05-15', '2020-06-12', '2020-06-30', '2020-07-24']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.52, 1.0, 0.6, 0.2, 0.6, 0.2, 0.2, 0.0]",67,77
ACHC,2020-04-29,2020-05-13,"[4, 8, 20, 27, 33, 46, 54]","[15, 22, 30, 39]","['2020-05-05', '2020-05-11', '2020-05-28', '2020-06-08', '2020-06-16', '2020-07-06', '2020-07-16']","['2020-06-04', '2020-06-15', '2020-06-25', '2020-07-09']","[2.242857142857143, 1.0, 0.7142857142857143, 0.14285714285714285, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.0]","[2.9, 1.0, 0.5, 0.5, 0.75, 0.0, 0.25, 0.0]",502,471
ACHV,2020-06-29,2020-05-13,"[6, 16]","[33, 42]","['2020-07-08', '2020-07-22']","['2020-06-30', '2020-07-14']","[2.4, 1.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[3.3, 1.0, 0.5, 0.0, 1.0, 0.0, 0.5, 0.0]",491,463
ACIA,2020-04-09,2020-07-01,"[5, 11, 21, 30, 54, 64, 71]",[12],"['2020-04-17', '2020-04-27', '2020-05-11', '2020-05-22', '2020-06-26', '2020-07-13', '2020-07-22']",['2020-07-20'],"[2.0285714285714285, 1.0, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",104,103
ACIU,2020-05-28,2020-06-11,"[11, 18, 34]","[12, 21, 30]","['2020-06-12', '2020-06-23', '2020-07-16']","['2020-06-29', '2020-07-13', '2020-07-24']","[2.2666666666666666, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[3.2333333333333334, 1.0, 0.6666666666666666, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0]",82,90
ACIW,2019-08-19,2020-07-09,"[4, 18, 30, 42, 51, 58, 66, 71, 87, 99, 117, 124, 140, 152, 162, 168, 175, 182, 202, 208, 218, 234]",[12],"['2019-08-23', '2019-09-13', '2019-10-01', '2019-10-17', '2019-10-30', '2019-11-08', '2019-11-20', '2019-11-27', '2019-12-20', '2020-01-09', '2020-02-05', '2020-02-14', '2020-03-10', '2020-03-26', '2020-04-09', '2020-04-20', '2020-04-29', '2020-05-08', '2020-06-08', '2020-06-16', '2020-06-30', '2020-07-23']",['2020-07-27'],"[2.1545454545454543, 0.13636363636363635, 0.7272727272727273, 0.13636363636363635, 0.5, 0.22727272727272727, 0.09090909090909091, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",584,563
ACLS,2020-07-13,2020-07-08,[6],"[4, 12]",['2020-07-21'],"['2020-07-14', '2020-07-24']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0]",437,440
ACMR,2020-05-19,2020-06-29,"[8, 12, 20, 24, 38, 45]","[12, 18]","['2020-06-01', '2020-06-05', '2020-06-17', '2020-06-23', '2020-07-14', '2020-07-23']","['2020-07-16', '2020-07-24']","[2.4833333333333334, 1.0, 0.8333333333333334, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0]","[3.55, 1.0, 1.0, 0.0, 1.0, 0.5, 0.0, 0.0]",63,61
ACNB,2020-06-08,2019-12-02,"[6, 15, 26]","[6, 39, 51, 60, 69, 84, 93, 108, 114, 123, 132, 143, 152]","['2020-06-16', '2020-06-29', '2020-07-15']","['2019-12-10', '2020-01-29', '2020-02-14', '2020-02-28', '2020-03-12', '2020-04-02', '2020-04-16', '2020-05-07', '2020-05-15', '2020-05-29', '2020-06-11', '2020-06-26', '2020-07-10']","[2.5666666666666664, 1.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]","[2.5999999999999996, 0.15384615384615385, 0.5384615384615384, 0.07692307692307693, 0.8461538461538461, 0.07692307692307693, 0.15384615384615385, 0.0]",438,410
ACOR,2020-04-20,2020-04-01,"[30, 34, 60, 65]","[27, 34, 60, 71]","['2020-06-02', '2020-06-08', '2020-07-15', '2020-07-22']","['2020-05-11', '2020-05-20', '2020-06-26', '2020-07-14']","[2.75, 1.0, 0.75, 0.75, 0.5, 0.0, 0.0, 0.25]","[2.1750000000000003, 1.0, 0.5, 0.25, 0.5, 0.25, 0.0, 0.25]",332,320
ACRS,2020-06-17,2020-04-01,[22],"[22, 30, 36, 51, 60]",['2020-07-20'],"['2020-05-04', '2020-05-14', '2020-05-22', '2020-06-15', '2020-06-26']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3.3000000000000003, 1.0, 0.8, 0.4, 0.8, 0.2, 0.2, 0.0]",107,106
ACRX,2020-07-17,2020-06-02,[6],"[9, 24, 35]",['2020-07-27'],"['2020-06-15', '2020-07-07', '2020-07-22']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.2666666666666666, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",189,180
ACST,2020-03-03,2020-06-30,"[18, 33, 41, 48, 59, 64, 75, 96]",[9],"['2020-03-27', '2020-04-20', '2020-04-30', '2020-05-11', '2020-05-27', '2020-06-03', '2020-06-18', '2020-07-20']",['2020-07-14'],"[2.25, 0.75, 0.5, 0.125, 0.625, 0.125, 0.125, 0.0]","[2.5, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",148,120
ACT,2020-05-28,2020-04-21,"[6, 13, 27]","[9, 18, 38, 47, 54]","['2020-06-05', '2020-06-16', '2020-07-07']","['2020-05-04', '2020-05-15', '2020-06-15', '2020-06-26', '2020-07-08']","[2.1999999999999997, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333]","[2.3000000000000003, 1.0, 0.6, 0.0, 0.6, 0.6, 0.0, 0.0]",64,59
ACTG,2020-07-02,2020-06-26,[12],"[9, 18]",['2020-07-21'],"['2020-07-10', '2020-07-23']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3.0999999999999996, 1.0, 0.5, 0.0, 1.0, 1.0, 0.0, 0.0]",392,393
ACTTU,2019-06-24,2020-06-03,"[49, 55, 66, 75, 89, 96, 108, 117, 135, 142, 153, 164, 222, 236, 250]",[15],"['2019-09-03', '2019-09-11', '2019-09-26', '2019-10-09', '2019-10-29', '2019-11-07', '2019-11-25', '2019-12-09', '2020-01-06', '2020-01-15', '2020-01-31', '2020-02-18', '2020-05-11', '2020-06-01', '2020-06-19']",['2020-06-24'],"[2.173333333333334, 0.0, 0.5333333333333333, 0.26666666666666666, 0.5333333333333333, 0.26666666666666666, 0.13333333333333333, 0.13333333333333333]","[2.9, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",18,24
ACWI,2020-06-08,2020-01-31,"[11, 30]","[6, 19, 30, 35, 42, 55, 64, 72, 78, 93, 103, 110, 121]","['2020-06-23', '2020-07-21']","['2020-02-10', '2020-02-28', '2020-03-16', '2020-03-23', '2020-04-01', '2020-04-21', '2020-05-04', '2020-05-14', '2020-05-22', '2020-06-15', '2020-06-29', '2020-07-09', '2020-07-24']","[2.65, 1.0, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0]","[2.1076923076923073, 0.15384615384615385, 0.5384615384615384, 0.3076923076923077, 0.46153846153846156, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693]",277,287
ACWX,2019-12-13,2020-05-14,"[12, 23, 40, 54, 70, 82, 93, 102, 120, 131, 139, 146, 150]","[6, 21, 30, 38, 49]","['2020-01-02', '2020-01-17', '2020-02-12', '2020-03-04', '2020-03-26', '2020-04-14', '2020-04-29', '2020-05-12', '2020-06-08', '2020-06-23', '2020-07-06', '2020-07-15', '2020-07-21']","['2020-05-22', '2020-06-15', '2020-06-26', '2020-07-09', '2020-07-24']","[1.9923076923076921, 0.0, 0.6923076923076923, 0.3076923076923077, 0.46153846153846156, 0.07692307692307693, 0.0, 0.0]","[2.2199999999999998, 0.8, 0.6, 0.2, 0.6, 0.0, 0.0, 0.0]",283,298
ADAP,2020-06-01,2020-07-16,"[22, 36]",[6],"['2020-07-01', '2020-07-22']",['2020-07-24'],"[3.05, 1.0, 1.0, 0.0, 0.5, 0.5, 0.5, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",113,117
ADBE,2020-07-13,2020-06-29,[6],"[10, 18]",['2020-07-21'],"['2020-07-14', '2020-07-24']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.9, 1.0, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0]",730,749
ADES,2020-05-11,2019-11-26,"[12, 18, 25, 30, 38, 46]","[5, 22, 30, 50, 62, 88, 99, 108, 128, 135, 146, 157]","['2020-05-28', '2020-06-05', '2020-06-16', '2020-06-23', '2020-07-06', '2020-07-16']","['2019-12-04', '2019-12-30', '2020-01-10', '2020-02-10', '2020-02-27', '2020-04-03', '2020-04-21', '2020-05-04', '2020-06-02', '2020-06-11', '2020-06-26', '2020-07-14']","[2.4833333333333334, 1.0, 0.8333333333333334, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0]","[2.0833333333333335, 0.08333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.25, 0.25, 0.08333333333333333]",359,360
ADI,2020-06-05,2020-04-02,"[12, 24]","[12, 21, 30, 39, 50, 60, 70, 77]","['2020-06-23', '2020-07-10']","['2020-04-21', '2020-05-04', '2020-05-15', '2020-05-29', '2020-06-15', '2020-06-29', '2020-07-14', '2020-07-23']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.65, 0.875, 0.625, 0.5, 0.625, 0.0, 0.125, 0.0]",821,834
ADIL,2020-06-17,2020-02-10,"[6, 14, 24]","[4, 12, 22, 26, 36, 50, 60, 66, 77, 94, 101, 108, 115]","['2020-06-25', '2020-07-08', '2020-07-22']","['2020-02-14', '2020-02-27', '2020-03-12', '2020-03-18', '2020-04-01', '2020-04-22', '2020-05-06', '2020-05-14', '2020-06-01', '2020-06-24', '2020-07-06', '2020-07-15', '2020-07-24']","[2.7333333333333334, 1.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]","[2.1615384615384614, 0.15384615384615385, 0.7692307692307693, 0.23076923076923078, 0.38461538461538464, 0.15384615384615385, 0.23076923076923078, 0.0]",51,49
ADMA,2020-06-23,2020-06-22,"[4, 10, 18]","[10, 15, 24]","['2020-06-29', '2020-07-08', '2020-07-20']","['2020-07-07', '2020-07-14', '2020-07-27']","[2.4, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0]","[2.8, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.0]",169,146
ADMP,2020-06-08,2020-06-30,"[5, 30]",[6],"['2020-06-15', '2020-07-21']",['2020-07-09'],"[2.75, 1.0, 0.5, 1.0, 0.5, 0.0, 0.0, 0.5]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",423,388
ADMS,2019-12-09,2020-01-27,"[5, 12, 28, 39, 45, 51, 77, 90, 95, 104, 124, 131, 142, 150]","[4, 36, 44, 48, 67, 76, 86, 90, 95, 100, 105, 114, 121]","['2019-12-16', '2019-12-26', '2020-01-21', '2020-02-05', '2020-02-13', '2020-02-24', '2020-03-31', '2020-04-20', '2020-04-27', '2020-05-08', '2020-06-08', '2020-06-17', '2020-07-02', '2020-07-15']","['2020-01-31', '2020-03-18', '2020-03-30', '2020-04-03', '2020-05-01', '2020-05-14', '2020-05-29', '2020-06-04', '2020-06-11', '2020-06-18', '2020-06-25', '2020-07-09', '2020-07-20']","[1.885714285714286, 0.14285714285714285, 0.5, 0.35714285714285715, 0.42857142857142855, 0.14285714285714285, 0.07142857142857142, 0.07142857142857142]","[2.0307692307692307, 0.07692307692307693, 0.6923076923076923, 0.3076923076923077, 0.38461538461538464, 0.15384615384615385, 0.15384615384615385, 0.0]",147,148
ADP,2020-06-08,2020-06-25,"[9, 19, 26, 30]",[12],"['2020-06-19', '2020-07-06', '2020-07-15', '2020-07-21']",['2020-07-14'],"[2.0500000000000003, 1.0, 0.5, 0.25, 0.5, 0.25, 0.0, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",873,879
ADPT,2020-05-12,2020-06-29,"[9, 15, 40, 48]",[18],"['2020-05-26', '2020-06-03', '2020-07-09', '2020-07-21']",['2020-07-24'],"[2.725, 1.0, 0.5, 0.5, 0.75, 0.25, 0.0, 0.0]","[3.6999999999999997, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",27,28
ADRE,2020-07-13,2020-05-14,[6],"[6, 10, 21, 30, 41, 48]",['2020-07-21'],"['2020-05-22', '2020-05-29', '2020-06-15', '2020-06-26', '2020-07-14', '2020-07-23']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.5666666666666664, 1.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]",410,438
ADRO,2020-03-25,2020-06-05,"[16, 22, 28, 33, 44, 51, 60, 80]","[5, 15, 26, 34]","['2020-04-17', '2020-04-27', '2020-05-05', '2020-05-12', '2020-05-28', '2020-06-08', '2020-06-19', '2020-07-20']","['2020-06-12', '2020-06-26', '2020-07-14', '2020-07-24']","[2.375, 0.875, 0.75, 0.25, 0.375, 0.0, 0.375, 0.0]","[1.9, 1.0, 0.5, 0.5, 0.25, 0.0, 0.0, 0.5]",109,118
ADSK,2019-07-10,2020-06-29,"[24, 30, 34, 45, 51, 66, 100, 106, 115, 128, 140, 147, 155, 165, 180, 195, 203, 210, 232, 237, 241, 252, 260]","[10, 18]","['2019-08-13', '2019-08-21', '2019-08-27', '2019-09-12', '2019-09-20', '2019-10-11', '2019-11-29', '2019-12-09', '2019-12-20', '2020-01-10', '2020-01-29', '2020-02-07', '2020-02-20', '2020-03-05', '2020-03-26', '2020-04-17', '2020-04-29', '2020-05-08', '2020-06-10', '2020-06-17', '2020-06-23', '2020-07-09', '2020-07-21']","['2020-07-14', '2020-07-24']","[2.2043478260869565, 0.0, 0.5652173913043478, 0.4782608695652174, 0.5217391304347826, 0.13043478260869565, 0.08695652173913043, 0.043478260869565216]","[2.9, 1.0, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0]",774,759
ADTN,2020-07-07,2020-06-11,[12],"[9, 15, 22]",['2020-07-23'],"['2020-06-24', '2020-07-02', '2020-07-14']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.6, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0]",594,608
ADTX,2020-07-27,2020-07-06,[],[5],[],['2020-07-13'],"[0, 0, 0, 0, 0, 0, 0, 0]","[1.4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",1,2
ADUS,2020-06-16,2020-01-06,"[12, 20]","[14, 18, 37, 50, 60, 69, 75, 82, 90, 110, 120, 127, 131, 135]","['2020-07-02', '2020-07-15']","['2020-01-27', '2020-01-31', '2020-02-28', '2020-03-18', '2020-04-01', '2020-04-15', '2020-04-23', '2020-05-04', '2020-05-14', '2020-06-12', '2020-06-26', '2020-07-08', '2020-07-14', '2020-07-20']","[2.75, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0]","[2.214285714285714, 0.21428571428571427, 0.5714285714285714, 0.5, 0.5, 0.21428571428571427, 0.07142857142857142, 0.0]",254,264
ADVM,2020-05-26,2020-05-29,"[11, 20, 30]","[20, 36]","['2020-06-10', '2020-06-23', '2020-07-08']","['2020-06-26', '2020-07-21']","[2.466666666666667, 1.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[2.9, 1.0, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0]",122,127
ADXN,2020-06-17,2020-06-29,"[6, 15, 26]","[6, 17]","['2020-06-25', '2020-07-09', '2020-07-24']","['2020-07-08', '2020-07-23']","[2.5666666666666664, 1.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",6,4
ADXS,2020-06-10,2020-05-20,"[18, 28]","[6, 15, 28, 38, 45]","['2020-07-07', '2020-07-21']","['2020-05-29', '2020-06-11', '2020-06-30', '2020-07-15', '2020-07-24']","[2.55, 1.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0]","[2.46, 1.0, 0.6, 0.4, 0.6, 0.2, 0.0, 0.0]",269,318
