ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count
ABG,2020/6/16,2020/4/22,"[21, 28]","[16, 27, 35, 45, 61]","['2020-07-16', '2020-07-27']","['2020-05-14', '2020-06-01', '2020-06-11', '2020-06-25', '2020-07-20']","[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.42, 1.0, 0.4, 0.4, 0.2, 0.2, 0.0, 0.0]",433,425
ABM,2020/6/19,2020/7/9,[21],[12],['2020-07-21'],['2020-07-27'],"[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",712,736
ABR,2020/6/16,2020/4/21,"[7, 21, 25]","[9, 17, 28, 36, 48, 56]","['2020-06-25', '2020-07-16', '2020-07-22']","['2020-05-04', '2020-05-14', '2020-06-01', '2020-06-11', '2020-06-29', '2020-07-10']","[2.1666666666666665, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]","[1.8666666666666665, 0.8333333333333334, 0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",352,337
ABT,2020/3/30,2020/5/27,"[14, 30, 42, 49, 57, 80]","[7, 11, 21, 29, 33]","['2020-04-20', '2020-05-12', '2020-05-29', '2020-06-09', '2020-06-19', '2020-07-23']","['2020-06-05', '2020-06-11', '2020-06-25', '2020-07-08', '2020-07-14']","[2.05, 0.8333333333333334, 0.5, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0]","[1.48, 1.0, 0.4, 0.0, 0.4, 0.0, 0.0, 0.0]",851,919
AC,2020/6/5,2020/5/14,"[8, 27, 35]","[20, 30]","['2020-06-17', '2020-07-15', '2020-07-27']","['2020-06-12', '2020-06-26']","[1.6, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0]","[1.5, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0]",116,113
ACA,2020/6/5,2020/7/9,"[7, 12, 18, 31]",[12],"['2020-06-16', '2020-06-23', '2020-07-01', '2020-07-21']",['2020-07-27'],"[1.55, 1.0, 0.5, 0.0, 0.25, 0.0, 0.25, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",45,36
ACB,2020/3/27,2020/6/29,"[9, 21, 35, 50, 60, 75, 84]","[7, 18]","['2020-04-09', '2020-04-28', '2020-05-18', '2020-06-09', '2020-06-23', '2020-07-15', '2020-07-28']","['2020-07-09', '2020-07-24']","[2.5428571428571427, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.42857142857142855, 0.0, 0.2857142857142857, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",116,126
ACC,2020/6/16,2020/5/29,"[12, 20]","[9, 21, 28, 36]","['2020-07-02', '2020-07-15']","['2020-06-11', '2020-06-29', '2020-07-09', '2020-07-21']","[1.65, 1.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0]","[2.3499999999999996, 1.0, 0.75, 0.0, 0.5, 0.0, 0.25, 0.0]",355,379
ACCO,2020/5/28,2020/7/9,"[7, 33]",[7],"['2020-06-08', '2020-07-15']",['2020-07-20'],"[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",312,337
ACEL,2020/5/11,2020/4/15,"[18, 24, 28, 36, 45]","[5, 21, 42, 51, 58, 71]","['2020-06-05', '2020-06-15', '2020-06-19', '2020-07-01', '2020-07-15']","['2020-04-22', '2020-05-14', '2020-06-15', '2020-06-26', '2020-07-08', '2020-07-27']","[2.1599999999999997, 1.0, 0.8, 0.2, 0.2, 0.2, 0.4, 0.0]","[1.6666666666666667, 1.0, 0.5, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666]",31,34
ACH,2020/4/29,2020/6/11,"[7, 13, 27, 56]","[12, 25, 30]","['2020-05-08', '2020-05-18', '2020-06-08', '2020-07-20']","['2020-06-29', '2020-07-17', '2020-07-24']","[1.65, 0.75, 0.25, 0.0, 0.5, 0.25, 0.0, 0.25]","[1.7999999999999998, 1.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0]",424,449
ACM,2020/4/20,2020/7/9,"[7, 34, 40, 50, 60]","[7, 12]","['2020-04-29', '2020-06-08', '2020-06-16', '2020-06-30', '2020-07-15']","['2020-07-20', '2020-07-27']","[1.62, 1.0, 0.2, 0.6, 0.2, 0.2, 0.2, 0.2]","[2.3, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0]",300,312
ACN,2020/5/12,2020/5/14,"[18, 31, 48]","[21, 41, 49]","['2020-06-08', '2020-06-25', '2020-07-21']","['2020-06-15', '2020-07-14', '2020-07-24']","[1.4333333333333333, 1.0, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0]","[1.8666666666666667, 0.6666666666666666, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]",449,468
ACP,2020/6/23,2020/6/11,[15],"[12, 30]",['2020-07-15'],"['2020-06-29', '2020-07-24']","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[2.25, 1.0, 1.0, 0.5, 0.0, 0.0, 0.5, 0.0]",187,210
ACRE,2020/6/23,2018/11/20,"[6, 15, 21]","[12, 24, 40, 48, 72, 105, 109, 117, 130, 149, 165, 175, 183, 195, 204, 216, 220, 228, 233, 253, 258, 267, 282, 293, 305, 318, 331, 343, 355, 371, 390, 399, 409, 416, 420]","['2020-07-01', '2020-07-15', '2020-07-23']","['2018-12-10', '2018-12-27', '2019-01-22', '2019-02-01', '2019-03-08', '2019-04-25', '2019-05-01', '2019-05-13', '2019-05-31', '2019-06-27', '2019-07-22', '2019-08-05', '2019-08-15', '2019-09-03', '2019-09-16', '2019-10-02', '2019-10-08', '2019-10-18', '2019-10-25', '2019-11-22', '2019-12-02', '2019-12-13', '2020-01-07', '2020-01-23', '2020-02-10', '2020-02-28', '2020-03-18', '2020-04-03', '2020-04-22', '2020-05-14', '2020-06-11', '2020-06-24', '2020-07-09', '2020-07-20', '2020-07-24']","[2.3, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[1.5257142857142856, 0.08571428571428572, 0.5428571428571428, 0.3142857142857143, 0.17142857142857143, 0.17142857142857143, 0.22857142857142856, 0.02857142857142857]",179,184
ACV,2020/6/8,2020/5/14,"[7, 24, 32]","[21, 31, 41, 49]","['2020-06-17', '2020-07-13', '2020-07-23']","['2020-06-15', '2020-06-29', '2020-07-14', '2020-07-24']","[1.7999999999999998, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0]","[1.45, 0.75, 0.25, 0.0, 0.5, 0.0, 0.0, 0.0]",116,107
ADC,2020/5/27,2020/7/9,"[7, 14, 26, 36]",[12],"['2020-06-05', '2020-06-16', '2020-07-02', '2020-07-17']",['2020-07-27'],"[1.75, 1.0, 0.25, 0.0, 0.5, 0.0, 0.25, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",521,561
ADCT,2020/6/23,2020/7/14,"[7, 17, 21]",[7],"['2020-07-02', '2020-07-17', '2020-07-23']",['2020-07-23'],"[1.9333333333333331, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",5,5
ADM,2020/3/31,2020/7/9,"[7, 13, 21, 27, 33, 47, 56, 65]",[7],"['2020-04-09', '2020-04-20', '2020-04-30', '2020-05-08', '2020-05-18', '2020-06-08', '2020-06-19', '2020-07-02']",['2020-07-20'],"[1.5625, 0.875, 0.375, 0.125, 0.375, 0.125, 0.0, 0.125]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",799,814
ADNT,2020/7/7,2020/6/26,"[7, 15]","[9, 15]","['2020-07-16', '2020-07-28']","['2020-07-10', '2020-07-20']","[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[1.75, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0]",87,84
ADS,2020/6/16,2020/6/26,"[11, 21, 27]","[9, 15]","['2020-07-01', '2020-07-16', '2020-07-24']","['2020-07-10', '2020-07-20']","[1.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]","[1.75, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0]",442,457
