ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,signal
NEV,2020/7/13,2020/6/4,[7],"[5, 21, 27, 35]",['2020-07-22'],"['2020-06-11', '2020-07-06', '2020-07-14', '2020-07-24']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.275, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.25]",34,28,2020/8/10,20,46,0.005419859,T
BBDC,2020/6/5,2020/3/19,"[7, 14, 27, 33]","[12, 24, 30, 39, 58, 78, 84, 89]","['2020-06-16', '2020-06-25', '2020-07-15', '2020-07-23']","['2020-04-06', '2020-04-23', '2020-05-01', '2020-05-14', '2020-06-11', '2020-07-10', '2020-07-20', '2020-07-27']","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]","[1.8375, 0.625, 0.75, 0.125, 0.125, 0.125, 0.375, 0.125]",32,34,2020/8/10,45,99,0.005463203,T
NRT,2020/3/30,2020/5/18,"[8, 42, 48, 67, 79, 84]","[30, 36, 52]","['2020-04-09', '2020-05-29', '2020-06-08', '2020-07-06', '2020-07-22', '2020-07-29']","['2020-06-30', '2020-07-09', '2020-07-31']","[1.8333333333333333, 0.6666666666666666, 0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[1.4999999999999998, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0]",34,34,2020/8/10,92,58,0.005467183,T
NL,2020/7/15,2020/5/22,[12],"[14, 24, 32, 39, 49]",['2020-07-31'],"['2020-06-12', '2020-06-26', '2020-07-09', '2020-07-20', '2020-08-03']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.76, 0.8, 0.4, 0.0, 0.4, 0.4, 0.2, 0.0]",32,38,2020/8/10,18,54,0.005475315,T
SUP,2020/5/11,2020/4/2,"[5, 19, 30, 38, 42]","[12, 48, 64, 70, 80]","['2020-05-18', '2020-06-08', '2020-06-23', '2020-07-06', '2020-07-10']","['2020-04-21', '2020-06-11', '2020-07-06', '2020-07-14', '2020-07-28']","[1.46, 1.0, 0.4, 0.4, 0.2, 0.0, 0.0, 0.2]","[1.9, 0.8, 0.4, 0.4, 0.2, 0.6, 0.4, 0.0]",27,29,2020/8/10,63,89,0.005483795,T
CEL,2020/6/16,2020/7/10,"[5, 12, 21, 28, 32]",[7],"['2020-06-23', '2020-07-02', '2020-07-16', '2020-07-27', '2020-07-31']",['2020-07-21'],"[1.9800000000000002, 1.0, 0.4, 0.2, 0.4, 0.2, 0.2, 0.2]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",33,31,2020/8/10,38,21,0.005490355,T
KDMN,2020/6/24,2020/6/4,[14],"[6, 12]",['2020-07-15'],"['2020-06-12', '2020-06-22']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.9, 1.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0]",42,33,2020/8/10,32,46,0.00549134,T
DNP,2020/7/13,2020/5/14,[12],"[21, 32, 38, 45, 49, 54]",['2020-07-29'],"['2020-06-15', '2020-06-30', '2020-07-09', '2020-07-20', '2020-07-24', '2020-07-31']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.5999999999999999, 0.8333333333333334, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0]",35,31,2020/8/10,20,60,0.005495434,T
CLNY,2020/2/20,2020/4/3,"[25, 36, 48, 74, 81, 93, 101, 112]","[11, 28, 47, 58, 75, 84]","['2020-03-26', '2020-04-13', '2020-04-29', '2020-06-05', '2020-06-16', '2020-07-02', '2020-07-15', '2020-07-30']","['2020-04-21', '2020-05-14', '2020-06-11', '2020-06-26', '2020-07-22', '2020-08-04']","[1.3875, 0.625, 0.5, 0.125, 0.125, 0.25, 0.25, 0.0]","[1.4833333333333334, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]",34,35,2020/8/10,119,88,0.0055073,T
DDF,2020/2/3,2020/5/14,"[11, 21, 37, 49, 60, 87, 106, 119]","[21, 38, 54]","['2020-02-19', '2020-03-04', '2020-03-26', '2020-04-14', '2020-04-29', '2020-06-08', '2020-07-06', '2020-07-23']","['2020-06-15', '2020-07-09', '2020-07-31']","[1.4874999999999998, 0.375, 0.375, 0.125, 0.375, 0.0, 0.125, 0.0]","[1.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]",28,31,2020/8/10,131,60,0.005516674,T
QUAD,2020/7/9,2020/7/6,[9],"[6, 15]",['2020-07-22'],"['2020-07-14', '2020-07-27']","[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.75, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0]",34,33,2020/8/10,22,25,0.005524916,T
FDEU,2020/6/16,2020/7/1,"[5, 13, 20, 24, 30]","[6, 16, 21]","['2020-06-23', '2020-07-06', '2020-07-15', '2020-07-21', '2020-07-29']","['2020-07-10', '2020-07-24', '2020-07-31']","[1.5599999999999998, 1.0, 0.4, 0.6, 0.0, 0.2, 0.2, 0.4]","[1.7666666666666666, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0]",37,37,2020/8/10,38,27,0.005527873,T
VAL,2020/2/20,2020/7/10,"[7, 28, 36, 45, 49, 57, 75, 88, 105, 116]",[15],"['2020-03-02', '2020-03-31', '2020-04-13', '2020-04-24', '2020-04-30', '2020-05-12', '2020-06-08', '2020-06-25', '2020-07-21', '2020-08-05']",['2020-07-31'],"[1.74, 0.0, 0.5, 0.3, 0.4, 0.1, 0.1, 0.0]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",33,33,2020/8/10,119,21,0.005534803,T
VIST,2020/7/6,2020/6/30,"[5, 16, 21]",[9],"['2020-07-13', '2020-07-28', '2020-08-04']",['2020-07-14'],"[1.7666666666666668, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]","[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",22,23,2020/8/10,25,28,0.005541107,T
ADX,2019/11/18,2020/6/29,"[9, 27, 45, 63, 71, 91, 98, 103, 111, 120, 138, 149, 169]","[7, 18]","['2019-12-02', '2019-12-27', '2020-01-24', '2020-02-20', '2020-03-03', '2020-03-31', '2020-04-09', '2020-04-17', '2020-04-29', '2020-05-12', '2020-06-08', '2020-06-23', '2020-07-22']","['2020-07-09', '2020-07-24']","[1.3307692307692307, 0.07692307692307693, 0.5384615384615384, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",33,32,2020/8/10,182,29,0.0055417,T
DTW,2020/3/31,2019/12/6,"[7, 12, 29, 48, 70, 87]","[14, 36, 56, 69, 80, 100, 109, 141]","['2020-04-09', '2020-04-17', '2020-05-12', '2020-06-09', '2020-07-10', '2020-08-04']","['2019-12-27', '2020-01-30', '2020-02-28', '2020-03-18', '2020-04-02', '2020-05-01', '2020-05-14', '2020-06-30']","[1.9, 0.6666666666666666, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0]","[1.4, 0.375, 0.375, 0.25, 0.25, 0.25, 0.125, 0.0]",29,25,2020/8/10,91,169,0.005544517,T
SREA,2020/5/26,2020/6/29,"[10, 28, 40, 48]",[7],"['2020-06-09', '2020-07-06', '2020-07-22', '2020-08-03']",['2020-07-09'],"[1.75, 1.0, 0.25, 0.5, 0.25, 0.5, 0.25, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",23,23,2020/8/10,53,29,0.005555268,T
RYAM,2020/7/9,2020/7/14,"[9, 14]","[9, 14]","['2020-07-22', '2020-07-29']","['2020-07-27', '2020-08-03']","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",40,40,2020/8/10,22,19,0.005581931,T
BEST,2020/5/20,2020/6/29,"[34, 42]",[14],"['2020-07-09', '2020-07-21']",['2020-07-20'],"[2.05, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",38,39,2020/8/10,56,29,0.005615845,T
PGRE,2020/6/16,2020/6/25,"[12, 20, 30]","[9, 21, 26]","['2020-07-02', '2020-07-15', '2020-07-29']","['2020-07-09', '2020-07-27', '2020-08-03']","[1.7999999999999998, 1.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0]","[1.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]",34,37,2020/8/10,38,31,0.005638893,T
GUT,2020/6/23,2020/6/11,"[15, 24]","[11, 28, 36]","['2020-07-15', '2020-07-28']","['2020-06-26', '2020-07-22', '2020-08-03']","[2.4, 1.0, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0]","[1.5999999999999999, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]",29,29,2020/8/10,33,41,0.005659086,T
HCHC,2020/6/10,2020/6/11,"[24, 29, 35]","[20, 36]","['2020-07-15', '2020-07-22', '2020-07-30']","['2020-07-10', '2020-08-03']","[1.9333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[1.65, 1.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0]",38,24,2020/8/10,42,41,0.005660453,T
BTU,2020/4/22,2020/5/14,"[5, 14, 21, 33, 65]","[14, 34, 38, 48]","['2020-04-29', '2020-05-12', '2020-05-21', '2020-06-09', '2020-07-24']","['2020-06-04', '2020-07-02', '2020-07-09', '2020-07-23']","[1.86, 1.0, 0.4, 0.4, 0.4, 0.0, 0.0, 0.2]","[1.45, 1.0, 0.25, 0.0, 0.25, 0.25, 0.25, 0.25]",36,39,2020/8/10,76,60,0.005717861,T
JCE,2020/7/6,2020/6/29,[12],"[7, 18]",['2020-07-22'],"['2020-07-09', '2020-07-24']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",37,34,2020/8/10,25,29,0.005732961,T
AFGB,2020/4/29,2020/6/15,"[9, 38]","[11, 36]","['2020-05-12', '2020-06-23']","['2020-06-30', '2020-08-05']","[0.8, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3, 1.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0]",3,5,2020/8/10,71,39,0.005733348,T
CCR,2020/7/23,2020/7/21,[7],[7],['2020-08-03'],['2020-07-30'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",34,37,2020/8/10,12,14,0.005761578,T
EDF,2020/3/26,2020/6/26,"[12, 24, 32, 49, 57, 69, 74]","[9, 15, 21]","['2020-04-14', '2020-04-30', '2020-05-12', '2020-06-05', '2020-06-17', '2020-07-06', '2020-07-13']","['2020-07-10', '2020-07-20', '2020-07-28']","[1.4571428571428569, 0.5714285714285714, 0.5714285714285714, 0.0, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.0]","[2.3, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]",34,31,2020/8/10,94,30,0.005799665,T
ELU,2020/6/17,2020/7/15,"[14, 30]",[12],"['2020-07-08', '2020-07-30']",['2020-07-31'],"[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",29,33,2020/8/10,37,18,0.005805509,T
HFRO,2020/7/13,2020/6/24,"[7, 15]","[14, 21]","['2020-07-22', '2020-08-03']","['2020-07-15', '2020-07-24']","[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]",35,40,2020/8/10,20,32,0.00581153,T
NMS,2020/2/3,2020/6/12,"[14, 39, 56, 66, 85, 116, 120]","[5, 21, 29]","['2020-02-24', '2020-03-30', '2020-04-23', '2020-05-07', '2020-06-04', '2020-07-20', '2020-07-24']","['2020-06-19', '2020-07-14', '2020-07-24']","[1.6285714285714283, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.0]","[1.6666666666666667, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]",30,36,2020/8/10,131,40,0.005823168,T
MFA,2020/7/22,2020/6/11,[6],"[9, 20, 36]",['2020-07-30'],"['2020-06-24', '2020-07-10', '2020-08-03']","[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.5666666666666667, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0]",28,33,2020/8/10,13,41,0.005832047,T
SD,2020/6/9,2020/4/6,"[5, 14, 18, 22, 30, 40]","[27, 41, 56, 63, 72, 81]","['2020-06-16', '2020-06-29', '2020-07-06', '2020-07-10', '2020-07-22', '2020-08-05']","['2020-05-14', '2020-06-04', '2020-06-25', '2020-07-07', '2020-07-20', '2020-07-31']","[1.4166666666666665, 1.0, 0.3333333333333333, 0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[1.8666666666666667, 0.6666666666666666, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0]",36,35,2020/8/10,43,87,0.005840164,T
NAT,2020/4/28,2020/6/30,"[14, 21, 28, 34, 54]",[15],"['2020-05-18', '2020-05-28', '2020-06-08', '2020-06-16', '2020-07-15']",['2020-07-22'],"[1.98, 1.0, 0.4, 0.0, 0.6, 0.0, 0.0, 0.2]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",36,33,2020/8/10,72,28,0.005858229,T
NIQ,2020/6/15,2020/4/3,"[13, 25, 30, 36]","[15, 28, 42, 69, 75, 80]","['2020-07-02', '2020-07-21', '2020-07-28', '2020-08-05']","['2020-04-27', '2020-05-14', '2020-06-04', '2020-07-14', '2020-07-22', '2020-07-29']","[1.525, 1.0, 0.5, 0.5, 0.0, 0.0, 0.25, 0.25]","[1.9999999999999998, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0]",30,25,2020/8/10,39,88,0.005858553,T
AFGD,2020/7/24,2020/6/11,[6],"[21, 28, 32]",['2020-08-03'],"['2020-07-13', '2020-07-22', '2020-07-28']","[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.033333333333333, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",3,4,2020/8/10,11,41,0.005863347,T
EFF,2020/6/23,2020/7/7,"[7, 11, 21]","[5, 14]","['2020-07-02', '2020-07-09', '2020-07-23']","['2020-07-14', '2020-07-27']","[1.9333333333333331, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5]",37,32,2020/8/10,33,24,0.005874663,T
BBN,2020/6/22,2020/6/8,[14],[15],['2020-07-13'],['2020-06-29'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",29,29,2020/8/10,34,44,0.00587635,T
F,2020/6/8,2020/7/10,"[6, 28, 32, 36]",[15],"['2020-06-16', '2020-07-17', '2020-07-23', '2020-07-29']",['2020-07-31'],"[1.625, 1.0, 0.5, 0.0, 0.25, 0.25, 0.25, 0.0]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",39,39,2020/8/10,44,21,0.005879679,T
CNF,2020/4/8,2020/5/7,"[5, 13, 24, 43, 48, 56, 65, 69, 75]","[28, 60]","['2020-04-16', '2020-04-28', '2020-05-13', '2020-06-10', '2020-06-17', '2020-06-29', '2020-07-13', '2020-07-17', '2020-07-27']","['2020-06-17', '2020-08-03']","[1.422222222222222, 0.0, 0.4444444444444444, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222]","[2.65, 1.0, 0.5, 0.5, 0.5, 0.0, 0.5, 0.0]",36,37,2020/8/10,85,65,0.005883753,T
NMCO,2020/7/10,2020/5/14,"[7, 13]","[15, 23, 28, 42, 48]","['2020-07-21', '2020-07-29']","['2020-06-05', '2020-06-17', '2020-06-24', '2020-07-15', '2020-07-23']","[1.45, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]","[2.12, 1.0, 0.6, 0.2, 0.4, 0.2, 0.2, 0.0]",21,18,2020/8/10,21,60,0.005893645,T
NMI,2020/6/8,2020/4/3,"[12, 30, 36]","[5, 18, 28, 47, 65, 75, 84]","['2020-06-24', '2020-07-21', '2020-07-29']","['2020-04-13', '2020-04-30', '2020-05-14', '2020-06-11', '2020-07-08', '2020-07-22', '2020-08-04']","[2.3, 1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0]","[1.7428571428571427, 0.7142857142857143, 0.42857142857142855, 0.42857142857142855, 0.2857142857142857, 0.0, 0.14285714285714285, 0.14285714285714285]",40,36,2020/8/10,44,88,0.005935378,T
SXC,2020/6/23,2020/2/10,"[6, 13, 24, 28]","[22, 42, 52, 60, 66, 78, 91, 96, 100, 104, 120]","['2020-07-01', '2020-07-13', '2020-07-28', '2020-08-03']","['2020-03-12', '2020-04-09', '2020-04-24', '2020-05-06', '2020-05-14', '2020-06-02', '2020-06-19', '2020-06-26', '2020-07-02', '2020-07-09', '2020-07-31']","[1.75, 1.0, 0.5, 0.0, 0.25, 0.25, 0.25, 0.25]","[1.5636363636363635, 0.0, 0.5454545454545454, 0.2727272727272727, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.0]",34,34,2020/8/10,33,126,0.005939225,T
STG,2020/7/6,2020/6/8,"[5, 11, 21]","[15, 27, 35]","['2020-07-13', '2020-07-21', '2020-08-04']","['2020-06-29', '2020-07-16', '2020-07-28']","[1.6666666666666667, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]","[2.1333333333333333, 1.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]",36,36,2020/8/10,25,44,0.005972635,T
ASG,2020/3/2,2020/5/14,"[18, 34, 42, 50, 70, 79, 98, 108]","[20, 30, 49]","['2020-03-26', '2020-04-20', '2020-04-30', '2020-05-12', '2020-06-10', '2020-06-23', '2020-07-21', '2020-08-04']","['2020-06-12', '2020-06-26', '2020-07-24']","[1.6875, 0.625, 0.375, 0.25, 0.375, 0.0, 0.125, 0.125]","[1.6666666666666665, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]",26,29,2020/8/10,112,60,0.005973265,T
SBOW,2020/7/14,2020/6/1,"[7, 14]",[28],"['2020-07-23', '2020-08-03']",['2020-07-10'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",40,36,2020/8/10,19,49,0.005990346,T
BORR,2020/7/23,2020/7/10,[7],"[6, 14]",['2020-08-03'],"['2020-07-20', '2020-07-30']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",17,20,2020/8/10,12,21,0.005997339,T
GSL,2020/2/12,2020/4/3,"[6, 30, 42, 53, 63, 73, 80, 86, 91, 99, 108, 112]","[21, 28, 39, 49, 58, 69, 82]","['2020-02-21', '2020-03-26', '2020-04-14', '2020-04-29', '2020-05-13', '2020-05-28', '2020-06-08', '2020-06-16', '2020-06-23', '2020-07-06', '2020-07-17', '2020-07-23']","['2020-05-05', '2020-05-14', '2020-06-01', '2020-06-15', '2020-06-26', '2020-07-14', '2020-07-31']","[1.5333333333333332, 0.08333333333333333, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.08333333333333333, 0.0]","[1.4857142857142858, 0.5714285714285714, 0.42857142857142855, 0.0, 0.42857142857142855, 0.0, 0.0, 0.0]",41,29,2020/8/10,124,88,0.006023166,T
BW,2020/2/11,2020/6/11,"[6, 15, 30, 55, 63, 72, 83, 96, 100, 108, 118]","[9, 21, 36]","['2020-02-20', '2020-03-04', '2020-03-25', '2020-04-30', '2020-05-12', '2020-05-26', '2020-06-10', '2020-06-29', '2020-07-06', '2020-07-16', '2020-07-30']","['2020-06-24', '2020-07-13', '2020-08-03']","[1.5909090909090906, 0.09090909090909091, 0.6363636363636364, 0.36363636363636365, 0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.09090909090909091]","[2.4, 1.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]",38,32,2020/8/10,125,41,0.006034353,T
ENJ,2020/5/6,2020/6/9,"[14, 23, 35, 40, 44, 54, 60]","[31, 35]","['2020-05-27', '2020-06-09', '2020-06-25', '2020-07-02', '2020-07-09', '2020-07-23', '2020-07-31']","['2020-07-23', '2020-07-29']","[1.5714285714285714, 0.8571428571428571, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.0]","[1.55, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]",28,33,2020/8/10,66,43,0.006046521,T
VCIF,2020/5/12,2020/7/9,"[6, 15, 25, 54]","[5, 10, 15]","['2020-05-20', '2020-06-03', '2020-06-17', '2020-07-29']","['2020-07-16', '2020-07-23', '2020-07-30']","[1.4499999999999997, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0]","[1.4666666666666666, 1.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0, 0.3333333333333333]",24,30,2020/8/10,62,22,0.006046892,T
GBAB,2020/3/31,2020/7/27,"[7, 15, 42, 71, 77, 87]",[7],"['2020-04-09', '2020-04-22', '2020-06-01', '2020-07-13', '2020-07-21', '2020-08-04']",['2020-08-05'],"[1.8833333333333333, 0.8333333333333334, 0.5, 0.16666666666666666, 0.5, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",34,33,2020/8/10,91,10,0.006060922,T
EEX,2020/6/5,2020/4/22,"[7, 18, 28, 36]","[15, 26, 35, 46, 63, 72]","['2020-06-16', '2020-07-01', '2020-07-16', '2020-07-28']","['2020-05-13', '2020-05-29', '2020-06-11', '2020-06-26', '2020-07-22', '2020-08-04']","[2.05, 1.0, 0.5, 0.0, 0.5, 0.0, 0.25, 0.0]","[1.8833333333333333, 0.8333333333333334, 0.5, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0]",34,34,2020/8/10,45,76,0.006066372,T
XFLT,2020/3/5,2020/5/14,"[12, 25, 39, 48, 64, 72, 85, 98, 102]","[21, 30, 41, 49, 53]","['2020-03-23', '2020-04-09', '2020-04-30', '2020-05-13', '2020-06-05', '2020-06-17', '2020-07-07', '2020-07-24', '2020-07-30']","['2020-06-15', '2020-06-26', '2020-07-14', '2020-07-24', '2020-07-30']","[1.4777777777777776, 0.0, 0.5555555555555556, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.0]","[1.58, 0.8, 0.4, 0.2, 0.4, 0.0, 0.0, 0.0]",32,38,2020/8/10,109,60,0.006076807,T
FFA,2020/6/16,2020/7/14,[24],[12],['2020-07-21'],['2020-07-30'],"[2.7, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",32,36,2020/8/10,38,19,0.006081118,T
EOS,2020/6/19,2019/8/5,"[15, 21]","[17, 25, 36, 42, 56, 84, 106, 120, 143, 168, 179, 188, 196, 204, 217, 227, 237, 245, 249]","['2020-07-13', '2020-07-21']","['2019-08-28', '2019-09-10', '2019-09-25', '2019-10-03', '2019-10-23', '2019-12-03', '2020-01-06', '2020-01-27', '2020-02-28', '2020-04-03', '2020-04-21', '2020-05-04', '2020-05-14', '2020-05-27', '2020-06-15', '2020-06-29', '2020-07-14', '2020-07-24', '2020-07-30']","[2.75, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0]","[1.6736842105263157, 0.05263157894736842, 0.42105263157894735, 0.15789473684210525, 0.3684210526315789, 0.15789473684210525, 0.2631578947368421, 0.0]",32,29,2020/8/10,35,256,0.006100077,T
LAIX,2020/4/16,2020/4/8,"[10, 35, 39, 60, 65]","[7, 12, 18, 33, 56, 81]","['2020-04-30', '2020-06-05', '2020-06-11', '2020-07-13', '2020-07-20']","['2020-04-20', '2020-04-27', '2020-05-05', '2020-05-27', '2020-06-29', '2020-08-04']","[1.8399999999999996, 1.0, 0.4, 0.8, 0.2, 0.0, 0.2, 0.0]","[1.85, 0.8333333333333334, 0.6666666666666666, 0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0]",32,35,2020/8/10,80,85,0.00611933,T
GNE,2020/3/31,2020/4/3,"[12, 20, 26, 45]","[7, 14, 28, 40, 57, 66, 83]","['2020-04-17', '2020-04-29', '2020-05-07', '2020-06-04']","['2020-04-15', '2020-04-24', '2020-05-14', '2020-06-02', '2020-06-25', '2020-07-09', '2020-08-03']","[1.4, 1.0, 0.5, 0.5, 0.0, 0.0, 0.25, 0.0]","[1.4857142857142855, 0.7142857142857143, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.0, 0.0]",30,36,2020/8/10,91,88,0.006196637,T
AMCR,2020/7/6,2020/3/16,[12],"[14, 25, 36, 61, 72, 80, 96]",['2020-07-22'],"['2020-04-03', '2020-04-21', '2020-05-06', '2020-06-11', '2020-06-26', '2020-07-09', '2020-07-31']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.757142857142857, 1.0, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.0]",28,32,2020/8/10,25,102,0.006207485,T
