ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,signal
TRQ,2020/6/5,2020/5/14,"[12, 21, 32]",[49],"['2020-06-23', '2020-07-07', '2020-07-22']",['2020-07-24'],"[2.1, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",22,26,2020/8/10,45,60,0.001176424,T
PER,2020/6/17,2020/7/14,"[11, 24]",[15],"['2020-07-02', '2020-07-22']",['2020-08-04'],"[1.4500000000000002, 1.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",23,30,2020/8/10,37,19,0.001181224,T
SBI,2020/2/6,2020/2/11,"[5, 14, 36, 44, 65, 81, 91, 99]","[12, 21, 28, 37, 54, 58, 65, 84, 96, 116]","['2020-02-13', '2020-02-27', '2020-03-30', '2020-04-09', '2020-05-11', '2020-06-03', '2020-06-17', '2020-06-29']","['2020-02-28', '2020-03-12', '2020-03-23', '2020-04-03', '2020-04-29', '2020-05-05', '2020-05-14', '2020-06-11', '2020-06-29', '2020-07-28']","[1.4625, 0.75, 0.375, 0.25, 0.25, 0.0, 0.125, 0.125]","[1.6, 0.0, 0.5, 0.1, 0.3, 0.1, 0.3, 0.0]",28,28,2020/8/10,128,125,0.00123466,T
IGD,2020/7/29,2020/5/14,[5],"[21, 30, 39]",['2020-08-05'],"['2020-06-15', '2020-06-26', '2020-07-10']","[1.4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[2.3, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]",31,27,2020/8/10,8,60,0.001272155,T
CMU,2020/6/2,2019/6/19,"[9, 28]","[5, 24, 42, 62, 69, 126, 135, 158, 164, 175, 184, 191, 211, 216, 228, 245]","['2020-06-15', '2020-07-13']","['2019-06-26', '2019-07-24', '2019-08-19', '2019-09-17', '2019-09-26', '2019-12-17', '2019-12-31', '2020-02-04', '2020-02-12', '2020-02-28', '2020-03-12', '2020-03-23', '2020-04-21', '2020-04-28', '2020-05-14', '2020-06-09']","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]","[1.5, 0.125, 0.4375, 0.25, 0.25, 0.1875, 0.1875, 0.0625]",23,21,2020/8/10,48,288,0.001272335,T
PPR,2020/6/16,2020/5/26,[24],"[14, 25, 42]",['2020-07-21'],"['2020-06-15', '2020-06-30', '2020-07-24']","[2.7, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[2.1666666666666665, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]",15,22,2020/8/10,38,53,0.001304655,T
PDS,2020/6/16,2020/6/15,"[5, 20, 24]","[20, 24, 35]","['2020-06-23', '2020-07-15', '2020-07-21']","['2020-07-14', '2020-07-20', '2020-08-04']","[1.6666666666666667, 1.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.166666666666667, 1.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",34,31,2020/8/10,38,39,0.00131869,T
HPR,2020/5/5,2020/6/25,"[24, 42, 55, 64]",[12],"['2020-06-09', '2020-07-06', '2020-07-23', '2020-08-05']",['2020-07-14'],"[1.95, 0.75, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",35,32,2020/8/10,67,31,0.001322294,T
FPAC,2019/8/19,2020/6/11,"[8, 20, 25, 43, 60, 68, 72, 77, 105, 112, 118, 126, 135, 150, 159, 167, 175, 180, 194, 204, 217, 221, 230]","[5, 9, 17, 21, 30, 35]","['2019-08-29', '2019-09-17', '2019-09-24', '2019-10-18', '2019-11-12', '2019-11-22', '2019-11-29', '2019-12-06', '2020-01-17', '2020-01-29', '2020-02-06', '2020-02-19', '2020-03-03', '2020-03-24', '2020-04-06', '2020-04-17', '2020-04-29', '2020-05-06', '2020-05-27', '2020-06-10', '2020-06-29', '2020-07-06', '2020-07-17']","['2020-06-18', '2020-06-24', '2020-07-07', '2020-07-13', '2020-07-24', '2020-07-31']","[1.5043478260869563, 0.13043478260869565, 0.391304347826087, 0.391304347826087, 0.2608695652173913, 0.13043478260869565, 0.17391304347826086, 0.0]","[1.8999999999999997, 1.0, 0.5, 0.5, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666]",34,33,2020/8/10,246,41,0.001330839,T
GIM,2020/7/7,2020/6/22,"[6, 21]","[21, 27]","['2020-07-15', '2020-08-05']","['2020-07-22', '2020-07-30']","[2.4, 1.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0]",31,28,2020/8/10,24,34,0.001347434,T
